Vin VinADC
6 510
6.1 518
6.2 527
6.3 535
6.4 544
6.5 552
6.6 560
6.7 569
6.8 577
6.9 585
7 594
7.1 602
7.2 610
7.3 619
7.4 627
7.5 636
7.6 644
7.7 653
7.8 661
7.9 670
8 678
8.1 687
8.2 695
8.3 704
8.4 712
8.5 721
8.6 729
8.7 738
8.8 746
8.9 755
9 763
9.1 772
9.2 780
9.3 789
9.4 797
9.5 805
9.6 814
9.7 822
9.8 831
9.9 839
10 847
10.1 856
10.2 864
10.3 872
10.4 881
10.5 889
10.6 898
10.7 906
10.8 914
10.9 923
11 931
11.1 940
11.2 948
11.3 957
11.4 965
11.5 974
11.6 982
11.7 991
11.8 1000
11.9 1009
12 1012
