Vin	Iin	Vout
4	+3.67732200E-01	0
4.05	+3.66817500E-01	0
4.1	+3.68607500E-01	0
4.15	+3.68266000E-01	0
4.2	+3.72813100E-01	0
4.25	+3.86716700E-01	0
4.3	+3.86616600E-01	0
4.35	+3.86579000E-01	0
4.4	+3.86568600E-01	0
4.45	+3.86563500E-01	0
4.5	+3.86565400E-01	0
4.55	+4.52199600E-01	1510
4.6	+4.51788300E-01	1520
4.65	+4.51441500E-01	1520
4.7	+4.51086400E-01	1510
4.75	+4.50741200E-01	1520
4.8	+4.50404600E-01	1510
4.85	+4.50115300E-01	1520
4.9	+4.49779900E-01	1510
4.95	+4.49481600E-01	1520
5	+4.49280200E-01	1520
