Iout Vout Iin Vin IoutADC ntc ptat
0 1570 +4.23707600E-01 +1.09988800E+0 26 222 524
100 1560 +4.38603700E-01 +1.09988100E+0 51 228 531
200 1550 +4.53850800E-01 +1.09988400E+0 77 232 538
300 1550 +4.69197000E-01 +1.09988600E+0 103 234 545
400 1540 +4.84916400E-01 +1.09988500E+0 129 236 544
500 1530 +5.04398800E-01 +1.09988700E+0 156 239 559
600 1520 +5.21646300E-01 +1.09988400E+0 183 242 563
700 1520 +5.38920700E-01 +1.09989300E+0 211 244 572
800 1510 +5.56280400E-01 +1.09989000E+0 237 246 578
900 1500 +5.73498100E-01 +1.09988700E+0 265 248 584
1000 1490 +5.90936100E-01 +1.09988900E+0 291 251 592
1100 1490 +6.08560000E-01 +1.09988600E+0 318 253 600
1200 1480 +6.26453500E-01 +1.09988800E+0 345 255 604
1300 1480 +6.44408000E-01 +1.09988700E+0 372 258 612
1400 1470 +6.62887500E-01 +1.09988900E+0 400 260 615
1500 1460 +6.81515300E-01 +1.09989100E+0 427 262 629
1600 1460 +7.00580200E-01 +1.09988500E+0 455 265 637
1700 1450 +7.19949100E-01 +1.09988800E+0 484 268 642
1800 1440 +7.39910700E-01 +1.09988300E+0 514 271 656
1900 1440 +7.59987600E-01 +1.09988600E+0 544 274 669
2000 1430 +7.80683500E-01 +1.09988900E+0 573 277 681
2100 1430 +8.01651100E-01 +1.09988400E+0 603 280 690
2200 1420 +8.23255400E-01 +1.09989000E+0 633 283 703
2300 1420 +8.45340100E-01 +1.09989300E+0 665 286 719
2400 1410 +8.67810800E-01 +1.09989000E+0 694 289 732
2500 1410 +8.91335800E-01 +1.09988600E+0 726 293 752
2600 1410 +9.15961500E-01 +1.09988700E+0 760 297 771
2700 1400 +9.41358800E-01 +1.09989100E+0 793 300 792
2800 1400 +9.67737900E-01 +1.09989200E+0 827 303 811
2900 1400 +9.94816500E-01 +1.09989000E+0 863 306 835
3000 1410 +1.02339300E+00 +1.09988600E+0 899 309 857
3100 1410 +1.05287600E+00 +1.09989200E+0 934 312 883
3200 1410 +1.08376500E+00 +1.09988900E+0 1004 315 907
3300 1420 +1.11586600E+00 +1.09989100E+0 1004 318 938
3400 1420 +1.14971900E+00 +1.09989300E+0 1004 319 969
3500 1430 +1.18432500E+00 +1.09989200E+0 1004 322 1003
3600 1380 +1.18983600E+00 +1.09989400E+0 27 315 914
3700 1410 +1.24091000E+00 +1.09989500E+0 27 322 1017
3800 1400 +1.26550300E+00 +1.09989300E+0 24 321 1010
3900 0 +3.96251100E-01 +1.09988500E+0 27 322 982
4000 1370 +1.30852300E+00 +1.09989200E+0 27 316 1002
